iter	Logloss
0	0.5786477926
1	0.5026265744
2	0.4502775098
3	0.4122452912
4	0.385328716
5	0.3648100895
6	0.3497874888
7	0.3387730965
8	0.3306803244
9	0.3246187176
10	0.3200689686
11	0.3169247691
12	0.3145497576
13	0.312758223
14	0.3114905473
15	0.3106116398
16	0.3102506527
17	0.3097810981
18	0.3093398794
19	0.308935581
20	0.3087719572
21	0.3085510503
22	0.3084040561
23	0.3083220841
24	0.3083105133
25	0.3081952575
26	0.3081904047
27	0.3081084288
28	0.3081037387
29	0.3080871065
30	0.3080236274
31	0.308022192
32	0.3079964116
33	0.3079713278
34	0.3079708446
35	0.3079384697
36	0.3079348194
37	0.3079311551
38	0.3079300725
39	0.3079275551
40	0.3078893785
41	0.3078892905
42	0.3078885952
43	0.3078751832
44	0.3078500137
45	0.3078161578
46	0.3078159545
47	0.3078151369
48	0.3078034659
49	0.3078026149
50	0.3077831442
51	0.3077648196
52	0.3077390244
53	0.3077314817
54	0.3077314648
55	0.3077313904
