iter	Passed	Remaining
0	124	12284
1	210	10335
2	269	8719
3	301	7241
4	360	6848
5	426	6679
6	471	6270
7	521	5999
8	549	5557
9	584	5258
10	636	5147
11	671	4921
12	722	4832
13	772	4745
14	808	4580
15	860	4518
16	913	4457
17	965	4400
18	1011	4314
19	1067	4269
20	1118	4209
21	1173	4162
22	1235	4137
23	1299	4115
24	1338	4015
25	1395	3971
26	1448	3915
27	1497	3851
28	1554	3805
29	1601	3736
30	1680	3739
31	1755	3729
32	1817	3689
33	1872	3635
34	1929	3583
35	1986	3531
36	2041	3476
37	2117	3454
38	2174	3401
39	2225	3338
40	2285	3289
41	2352	3248
42	2416	3203
43	2484	3161
44	2535	3099
45	2569	3016
46	2631	2967
47	2688	2912
48	2734	2845
49	2792	2792
50	2837	2726
