iter	Logloss
0	0.6149797776
1	0.5492901069
2	0.5041429983
3	0.4722670734
4	0.4453638324
5	0.4266097029
6	0.4104566622
7	0.3986340882
8	0.3896970234
9	0.3811340824
10	0.3740127999
11	0.3688308527
12	0.3642090653
13	0.3590684679
14	0.3560502116
15	0.3542828445
16	0.3522406677
17	0.3511996578
18	0.3499321602
19	0.349209299
20	0.3480620226
21	0.3469157315
22	0.3461422854
23	0.3451247625
24	0.3443843288
25	0.3437913958
26	0.3430349587
27	0.3424204691
28	0.3420377752
29	0.3410998489
30	0.3407537654
31	0.340483176
32	0.3402922148
33	0.339863079
34	0.339400866
35	0.3391836951
36	0.3386176462
37	0.3385273585
38	0.3384019522
39	0.3381426598
40	0.3380454476
41	0.3379469621
42	0.3375366208
43	0.3374265091
44	0.3372201138
45	0.3371070857
46	0.3367342468
47	0.3366354095
48	0.3364393347
49	0.3363678373
50	0.3363050969
51	0.336181184
52	0.3360306891
53	0.3359756593
54	0.3358909394
55	0.3357374204
56	0.3356516436
57	0.3355015586
58	0.3353960644
59	0.3352893589
60	0.335105682
61	0.3350042777
62	0.3348568368
63	0.33478467
64	0.3346608895
65	0.3345591355
66	0.3344438252
67	0.3343598122
68	0.3342378915
69	0.3341109038
70	0.333962929
71	0.3338697747
72	0.3337798622
73	0.3337181474
74	0.3336768489
75	0.3336135454
76	0.3335273823
77	0.3334537719
78	0.3333267722
79	0.3332911599
80	0.3332235444
81	0.3331598802
82	0.333014018
83	0.3329325639
84	0.3328790808
85	0.3327849245
86	0.3327323483
87	0.3326681158
88	0.3326081685
89	0.3325795301
90	0.3324793431
91	0.3323974262
92	0.3323667573
93	0.332200418
94	0.3321506413
95	0.332037694
96	0.3319574544
97	0.3319207156
98	0.3318735923
99	0.331838523
100	0.3317517728
101	0.3316524356
102	0.3316326125
103	0.3315651072
104	0.3314390491
105	0.3313904924
106	0.3313154172
107	0.3312340153
108	0.3311368321
109	0.3310499316
110	0.3309998415
111	0.3309167198
112	0.3308692593
113	0.3308093544
114	0.3307624537
115	0.3307179485
116	0.3306390066
117	0.3305883975
118	0.3305331351
119	0.3304733761
120	0.3304213119
121	0.3303370724
122	0.3302650426
123	0.3301966235
124	0.3301429525
125	0.3300409875
126	0.3299769902
127	0.3299098195
128	0.3298406389
129	0.329768179
130	0.3296780947
131	0.3295395972
132	0.3294558108
133	0.3293970496
134	0.3293329862
135	0.3292658864
136	0.3292092171
137	0.3291607741
138	0.3291115478
139	0.3290638871
140	0.3289959616
141	0.3289378619
142	0.3288786265
143	0.3288134876
144	0.3287592686
145	0.328710054
146	0.328643647
147	0.3285721541
148	0.3285098965
149	0.3284598188
150	0.3284099031
151	0.3283502479
152	0.3282923338
153	0.3282543722
154	0.3281408315
155	0.3280912495
156	0.3280194574
157	0.3279635968
158	0.3279118924
159	0.3278681079
160	0.3278030271
161	0.3277493065
162	0.3276737044
163	0.3276182221
164	0.3275613006
165	0.3275141141
166	0.3274489747
167	0.3273992769
168	0.3273936102
169	0.3273405359
170	0.3272918119
171	0.3272467631
172	0.3271860142
173	0.3271226174
174	0.3270936095
175	0.3270303298
176	0.3269765121
177	0.3269367088
178	0.3268735313
179	0.3268467688
180	0.326783616
181	0.3267371971
182	0.3266906399
183	0.3266526128
184	0.326590208
185	0.3265383127
186	0.3264739878
187	0.3264375313
188	0.3263819084
189	0.3263237422
190	0.3262542494
191	0.3261903148
192	0.3261451732
193	0.3261009859
194	0.3260395092
195	0.3259772271
196	0.3259252886
197	0.3258849914
198	0.3258474864
199	0.3257995784
