iter	Passed	Remaining
0	13	2606
1	27	2737
2	41	2695
3	55	2735
4	72	2819
5	88	2855
6	102	2822
7	113	2732
8	128	2724
9	142	2699
10	155	2665
11	167	2629
12	180	2592
13	193	2569
14	205	2537
15	217	2505
16	231	2496
17	245	2479
18	259	2469
19	271	2442
20	283	2417
21	297	2407
22	310	2386
23	322	2366
24	337	2362
25	350	2346
26	364	2333
27	377	2321
28	391	2305
29	402	2278
30	418	2282
31	432	2273
32	451	2282
33	466	2276
34	481	2268
35	497	2264
36	512	2258
37	524	2236
38	537	2220
39	552	2210
40	568	2206
41	582	2191
42	599	2187
43	611	2169
44	622	2144
45	635	2126
46	646	2103
47	656	2077
48	669	2062
49	680	2040
50	689	2015
51	701	1995
52	712	1976
53	723	1956
54	734	1937
55	745	1915
56	755	1895
57	766	1876
58	776	1854
59	788	1839
60	800	1823
61	809	1802
62	821	1785
63	832	1769
64	842	1750
65	855	1736
66	869	1725
67	886	1720
68	899	1708
69	913	1696
70	926	1682
71	947	1683
72	958	1667
73	969	1651
74	979	1632
75	990	1616
76	1002	1600
77	1012	1583
78	1025	1570
79	1037	1556
80	1048	1540
81	1059	1524
82	1070	1509
83	1082	1494
84	1093	1479
85	1107	1468
86	1122	1457
87	1133	1442
88	1143	1425
89	1153	1410
90	1163	1393
91	1173	1378
92	1184	1362
93	1195	1348
94	1209	1336
95	1221	1323
96	1232	1309
97	1244	1295
98	1255	1280
99	1265	1265
100	1276	1251
101	1287	1236
102	1298	1222
103	1309	1208
104	1320	1194
105	1333	1182
106	1342	1167
107	1352	1152
108	1363	1138
109	1375	1125
110	1388	1113
111	1400	1100
112	1411	1086
113	1422	1073
114	1434	1060
115	1445	1046
116	1458	1034
117	1468	1020
118	1480	1008
119	1492	995
120	1502	981
121	1514	968
122	1526	955
123	1536	941
124	1549	929
125	1561	917
126	1571	903
127	1582	890
128	1594	877
129	1604	864
130	1617	851
131	1631	840
132	1644	828
133	1657	816
134	1668	803
135	1680	790
136	1690	777
137	1702	764
138	1713	751
139	1723	738
140	1735	726
141	1745	713
142	1756	700
143	1769	688
144	1781	675
145	1791	662
146	1804	650
147	1817	638
148	1826	625
149	1838	612
150	1849	600
151	1860	587
152	1873	575
153	1891	564
154	1903	552
155	1915	540
156	1925	527
157	1939	515
158	1951	503
159	1962	490
160	1975	478
161	1990	466
162	2004	454
163	2016	442
164	2028	430
165	2044	418
166	2058	406
167	2070	394
168	2082	382
169	2098	370
170	2112	358
171	2125	346
172	2138	333
173	2149	321
174	2159	308
175	2174	296
176	2185	283
177	2196	271
178	2208	259
179	2222	246
180	2235	234
181	2245	222
182	2256	209
183	2267	197
184	2277	184
185	2288	172
186	2299	159
187	2310	147
188	2321	135
189	2336	122
190	2354	110
191	2364	98
192	2376	86
193	2385	73
194	2398	61
195	2413	49
196	2424	36
197	2436	24
198	2450	12
199	2462	0
